id,source,brand,product_url,title,category,gender,price,sale,description,image_url,second_hand
,scraper-bound,Bound,https://wearebound.com/products/pocket-fleece-cardigan-navy,POCKET FLEECE CARDIGAN - NAVY,Cardigans,UNISEX,92USD,92USD,,http://wearebound.com/cdn/shop/files/106672.jpg?v=1762981035,False
,scraper-bound,Bound,https://wearebound.com/products/patterned-fleece-gilet-camel,PATTERNED FLEECE GILET - CAMEL,Fleeces,UNISEX,134USD,134USD,,http://wearebound.com/cdn/shop/files/106508.jpg?v=1762981036,False
,scraper-bound,Bound,https://wearebound.com/products/forest-fleece-gilet,FOREST FLEECE GILET,Fleeces,UNISEX,134USD,134USD,,http://wearebound.com/cdn/shop/files/107209.jpg?v=1762981035,False
,scraper-bound,Bound,https://wearebound.com/products/pleat-herringbone-trouser-olive,PLEAT HERRINGBONE TROUSER - OLIVE,Trousers,UNISEX,120USD,120USD,,http://wearebound.com/cdn/shop/files/106972.jpg?v=1762981036,False
,scraper-bound,Bound,https://wearebound.com/products/bound-x-nfl-giants-washed-hoodie-blue,GIANTS VINTAGE WASHED SWEATER - BLUE,Sweaters,UNISEX,92USD,92USD,,http://wearebound.com/cdn/shop/files/giants_Washed_sweater.jpg?v=1757943134,False
,scraper-bound,Bound,https://wearebound.com/products/eagles-vintage-washed-sweater-green,EAGLES VINTAGE WASHED SWEATER - GREEN,Sweaters,UNISEX,92USD,92USD,,http://wearebound.com/cdn/shop/files/eagles_washed_sweat.jpg?v=1757943120,False
,scraper-bound,Bound,https://wearebound.com/products/giants-heavy-hoodie-ash-grey,GIANTS X BOUND HOODIE - ASH GREY,Hoodies,UNISEX,92USD,92USD,,http://wearebound.com/cdn/shop/files/giants_hoodie_frontback.jpg?v=1757943103,False
,scraper-bound,Bound,https://wearebound.com/products/eagles-stripe-tee,EAGLES STRIPE TEE,T-Shirts,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/eagles_stripe_tee.jpg?v=1757943087,False
,scraper-bound,Bound,https://wearebound.com/products/giants-stripe-tee,GIANTS STRIPE TEE,T-Shirts,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/giants_stripe_tee.jpg?v=1757943071,False
,scraper-bound,Bound,https://wearebound.com/products/giants-tee-white,GIANTS TEE - WHITE,T-Shirts,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/gints_tee_white.jpg?v=1757943054,False
,scraper-bound,Bound,https://wearebound.com/products/eagles-retro-tee-black,EAGLES RETRO TEE - VINTAGE WASHED BLACK,T-Shirts,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/eagles_retro_tee.jpg?v=1757943041,False
,scraper-bound,Bound,https://wearebound.com/products/nfl-x-bound-tee-black,NFL X BOUND TEE - BLACK,T-Shirts,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/nfl_tee_black.jpg?v=1757943009,False
,scraper-bound,Bound,https://wearebound.com/products/nfl-vintage-canvas-chore-jacket,NFL VINTAGE CANVAS CHORE JACKET,Jackets & Coats,UNISEX,99USD,99USD,,http://wearebound.com/cdn/shop/files/nfl_jacket_brown_front_back_c9070c69-2aa8-493f-9f95-7814c213677c.jpg?v=1757945762,False
